Canada,Total,44700,a,46000,a,47800,a,47700,a,47300,a,47000,a,48200,a,49100,a,50400,a,50600,a,51600,a,52500,a,53400,a,53900,a,57600,a
Newfoundland and Labrador,Total,39200,c,39200,c,40700,c,39300,c,40900,c,45300,c,43700,c,46100,c,47300,c,45300,c,47200,c,41700,c,47100,c,46300,c,48200,c
Prince Edward Island,Total,38400,c,40900,c,44500,c,45100,c,43300,c,40100,c,40300,c,41400,c,39100,c,42700,c,43300,c,42200,b,43600,b,45900,b,51900,b
Nova Scotia,Total,39300,b,42300,b,40200,b,40800,b,41600,b,44500,c,43100,c,45300,c,43900,b,44000,c,45400,b,45300,b,44500,b,47100,b,49600,b
New Brunswick,Total,38200,b,39000,b,40600,c,40000,c,43600,c,38900,c,37800,c,41000,c,39900,c,39900,c,39900,b,39600,c,42100,b,44300,c,45300,b
Quebec,Total,40000,a,41300,a,42900,b,42200,b,41300,b,43100,b,42300,a,43400,b,44400,b,42200,b,44000,a,44000,a,45300,a,46500,b,51100,a
Ontario,Total,46200,b,46200,b,48600,b,49500,b,48900,b,46100,b,47400,b,48600,b,50600,b,52700,b,53600,b,54600,a,56100,a,55000,b,60200,a
Manitoba,Total,38700,b,42000,b,40500,c,39900,b,41200,c,45800,b,44200,b,46200,b,47800,b,46700,b,48400,b,47100,b,47400,b,47700,b,50500,b
Saskatchewan,Total,41200,b,43100,c,45100,c,45400,c,45400,c,48900,c,50900,b,49600,b,54700,b,52800,b,52500,b,49600,b,52300,b,47200,b,54900,b
Alberta,Total,57200,b,62900,c,65400,b,66500,c,65300,b,63000,b,67500,b,68000,c,70400,b,72800,c,67700,b,69000,b,67300,b,69100,b,66800,b
British Columbia,Total,49000,b,50800,b,50900,b,48300,b,49100,b,50300,c,53600,b,52200,b,52100,b,51800,b,55900,b,60200,b,60100,b,62700,b,64800,b
Newfoundland and Labrador,St John's,36100,d,34600,d,40000,c,40200,d,42100,c,44400,d,44800,d,50200,c,51200,d,49800,c,47300,c,45200,c,49600,c,46700,d,54000,c
Nova Scotia,Halifax,42200,c,45600,c,41200,c,43400,c,45400,c,50600,c,47600,c,50600,c,47200,c,46400,c,47400,c,48900,c,47100,c,50000,c,53700,b
New Brunswick,Saint John,40500,c,44000,c,43800,d,45200,e,44600,e,42400,e,31500,d,44800,d,41200,c,43000,e,45400,d,42600,d,41200,d,54500,d,41200,c
Quebec,Saguenay,33200,c,34700,c,35500,c,35800,c,37200,c,40300,c,39000,c,40400,c,34600,c,37200,c,39200,d,36200,c,36200,c,47000,d,42700,c
Quebec,Sherbrooke,34600,c,36600,c,37900,c,37200,c,38500,c,35900,c,34300,c,37200,c,38200,d,44300,d,39900,c,37500,c,38500,c,38600,c,42600,b
Quebec,Trois-Rivières,30200,c,38600,c,37600,c,38400,c,36600,c,36000,c,32900,c,35900,c,35500,c,33400,c,40800,c,37600,c,38700,c,36500,c,42900,b
Ontario/Quebec,Ottawa - Gatineau,47600,c,50600,c,51600,c,53500,c,50900,c,53700,c,46000,c,50700,c,53600,c,51500,c,65800,c,54200,c,60200,c,60800,c,56800,b
Ontario,Ottawa - Gatineau (Ontario),47300,c,51700,c,53500,c,55800,c,53200,d,55300,c,47800,c,52200,c,58200,d,52600,d,70500,d,56300,c,62600,c,63200,c,57400,c
Quebec,Ottawa - Gatineau (Québec),48800,e,47100,d,44300,d,44300,c,40600,c,48900,d,39200,c,43900,c,39600,c,46800,c,47000,c,46000,c,50900,c,52300,d,55000,c
Ontario,Kingston,39700,d,45000,d,46700,d,39700,d,39400,d,48800,d,49900,d,47200,d,45200,c,49500,c,49000,c,49300,c,52900,c,51100,c,55700,c
Ontario,Oshawa,46800,c,40100,d,39200,d,41700,d,45000,d,41700,d,49600,c,46000,d,44400,d,52300,d,50500,d,53000,d,49900,d,54800,c,64100,c
Ontario,Toronto,47900,b,48000,c,52700,c,54500,c,53700,c,48500,c,50400,c,51800,b,55700,c,58200,c,58700,c,62600,b,61000,b,59100,c,66500,b
Ontario,Hamilton,46000,d,46000,d,48000,d,45200,d,48300,d,43700,d,45200,c,54900,d,46000,c,51600,d,51600,c,50600,c,52000,c,51500,d,56400,d
Ontario,St. Catharines-Niagara,41900,c,41100,d,39400,d,43900,c,44800,d,49200,d,44200,c,40100,c,38100,c,49700,d,43700,d,44000,c,46500,c,47400,d,50500,c
Ontario,Kitchener,48100,c,53300,c,48500,c,53400,d,45100,d,47400,c,42400,d,52500,c,48800,d,56900,d,56500,d,58200,c,60900,c,56500,c,63800,c
Ontario,London,46700,c,44900,c,38100,c,39900,d,36500,c,32300,c,43700,c,42200,c,41700,c,39700,d,35600,d,42000,c,42800,c,44400,d,53300,c
Ontario,Windsor,39600,d,40600,d,40500,d,36000,d,37400,d,36300,d,44400,d,36900,d,35000,d,33800,d,40100,c,33400,d,44700,d,40300,d,38000,d
Ontario,Greater Sudbury,41200,d,42000,c,43800,c,41300,c,40000,c,47200,c,47000,c,42800,c,42400,c,42200,c,37200,c,42900,c,45700,d,49300,d,51900,c
Ontario,Thunder Bay,39000,d,40900,d,36700,d,41400,d,45000,d,38700,d,42600,d,40900,d,40500,d,48000,c,44600,d,46700,c,43100,d,43500,c,54200,c
Manitoba,Winnipeg,39000,c,42400,c,40000,c,39500,c,41300,c,45100,c,44500,b,45200,c,46200,b,44900,b,47300,b,46400,b,45800,b,48900,b,50800,b
Saskatchewan,Regina,37900,c,46300,d,46000,c,46400,d,56100,d,54200,d,55700,d,56500,d,60900,c,56600,c,58600,c,55300,c,54300,c,48400,c,54900,c
Saskatchewan,Saskatoon,40800,c,44900,c,42900,c,46300,c,44600,c,52600,d,49600,c,50500,c,60500,c,53800,c,55200,c,46300,c,50400,c,48800,c,53800,c
Alberta,Calgary,60900,c,69200,d,74600,c,64900,d,64800,c,66400,c,70300,c,72400,d,70800,d,67800,c,66700,c,70500,c,70800,c,75600,c,65800,c
Alberta,Edmonton,52700,c,61400,d,59800,c,70200,d,69100,c,61600,c,60600,c,62800,c,69200,d,77000,d,70800,c,69800,c,66600,b,71600,c,67500,c
British Columbia,Abbotsford,51700,d,46300,d,44200,d,50100,d,44600,d,49300,d,56300,d,47400,c,57600,d,48500,d,59200,d,56200,c,70800,d,64500,d,65900,c
British Columbia,Vancouver,49000,c,53200,c,50200,c,48100,c,51500,c,49700,c,57000,c,54000,c,54100,c,55600,c,57000,c,61700,b,62400,b,68700,c,68600,b
British Columbia,Victoria,49800,c,49700,d,49600,c,47600,d,40900,d,55600,d,47800,d,49100,d,47400,c,44700,c,58400,c,57300,c,59000,c,54000,c,63800,c
Quebec,Québec,40000,b,39900,b,44200,c,45700,c,42800,c,45900,c,45900,c,49800,c,46300,c,40500,c,43100,c,46000,b,45300,c,46000,c,48800,b
Quebec,Montréal,42500,b,43300,b,44600,b,43100,c,42400,c,45100,b,43200,b,45000,b,49000,b,44600,b,47400,b,47100,b,47900,b,49300,b,55400,b
