Quebec,Québec,Sainte-Pétronille (VL),Row / En bande,,,,,,,,,,
Quebec,Sorel-Tracy,Sainte-Anne-de-Sorel (MÉ),Total,,,,,,,,,,
Ontario,Toronto,King (TP),Total,,,,,,,,,,
Ontario,Ingersoll,Total,Row / En bande,,,,,,,,,,
Alberta,Edmonton,Calmar (T),Row / En bande,,,,,,,,,,
Alberta,Lethbridge,Lethbridge County (MD),Total,,,,,,,,,,
Alberta,Lacombe,Lacombe (CY),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,St. John's,Conception Bay South (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,St. John's,Conception Bay South (T),Apt & Other / App. & autres,,,,,571,a,583,a,553,a
Newfoundland and Labrador,St. John's,Conception Bay South (T),Total,,,,,608,a,583,a,571,a
Newfoundland and Labrador,St. John's,Portugal Cove-St. Philip's (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,St. John's,Portugal Cove-St. Philip's (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,St. John's,Portugal Cove-St. Philip's (T),Total,,,,,,,,,,
Newfoundland and Labrador,St. John's,Pouch Cove (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,St. John's,Pouch Cove (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,St. John's,Pouch Cove (T),Total,,,,,,,,,,
Newfoundland and Labrador,St. John's,Flatrock (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,St. John's,Flatrock (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,St. John's,Flatrock (T),Total,,,,,,,,,,
Newfoundland and Labrador,St. John's,Torbay (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,St. John's,Torbay (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,St. John's,Torbay (T),Total,,,,,,,,,,
Newfoundland and Labrador,St. John's,Logy Bay-Middle Cove-Outer Cove (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,St. John's,Logy Bay-Middle Cove-Outer Cove (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,St. John's,Logy Bay-Middle Cove-Outer Cove (T),Total,,,,,,,,,,
Newfoundland and Labrador,St. John's,Bauline (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,St. John's,Bauline (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,St. John's,Bauline (T),Total,,,,,,,,,,
Newfoundland and Labrador,St. John's,Paradise (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,St. John's,Paradise (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,St. John's,Paradise (T),Total,,,,,,,,,,
Newfoundland and Labrador,St. John's,St. John's (CY),Row / En bande,,,519,b,698,a,,,723,a
Newfoundland and Labrador,St. John's,St. John's (CY),Apt & Other / App. & autres,611,a,717,a,809,a,901,a,768,a
Newfoundland and Labrador,St. John's,St. John's (CY),Total,611,a,703,a,807,a,950,a,766,a
Newfoundland and Labrador,St. John's,Mount Pearl (CY),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,St. John's,Mount Pearl (CY),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,St. John's,Mount Pearl (CY),Total,,,,,,,,,664,a
Newfoundland and Labrador,St. John's,Petty Harbour-Maddox Cove (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,St. John's,Petty Harbour-Maddox Cove (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,St. John's,Petty Harbour-Maddox Cove (T),Total,,,,,,,,,,
Newfoundland and Labrador,St. John's,Bay Bulls (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,St. John's,Bay Bulls (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,St. John's,Bay Bulls (T),Total,,,,,,,,,,
